Wall time,Step,Value
1607105579.047268,9063,0.0
1607105581.93219,9073,0.0
1607105585.139604,9084,0.0
1607105591.250361,9105,0.0
1607105596.503487,9123,0.0
1607105605.864718,9155,0.0
1607105607.920151,9162,0.0
1607105623.141635,9214,0.0
1607105623.740262,9216,0.0
1607105626.678797,9226,0.0
1607105628.71451,9233,0.0
1607105636.663292,9260,0.0
1607105642.82112,9281,0.0
1607105645.756861,9291,0.0
1607105650.445954,9307,0.0
1607105651.033884,9309,0.0
1607105653.068882,9316,0.0
1607105662.453646,9348,0.0
1607105663.901667,9353,0.0
1607105667.111381,9364,0.0
1607105668.57427,9369,0.0
1607105681.197655,9412,0.0
1607105682.078189,9415,0.0
1607105687.945098,9435,0.0
1607105689.700241,9441,0.0
1607105689.989026,9442,0.0
1607105697.635691,9468,0.0
1607105699.68528,9475,0.0
1607105718.193324,9538,0.0
1607105720.843055,9547,0.0
1607105722.87336,9554,0.0
1607105723.748379,9557,0.0
1607105725.829954,9564,0.0
1607105726.705328,9567,0.0
1607105733.111982,9589,0.0
1607105736.366859,9600,0.0
1607105739.581568,9611,0.0
1607105743.067423,9623,0.0
1607105743.353936,9624,0.0
1607105744.2352,9627,0.0
1607105751.268892,9651,0.0
1607105753.036456,9657,0.0
1607105759.754332,9680,0.0
1607105762.66887,9690,0.0
1607105764.996462,9698,0.0
1607105782.903685,9759,0.0
1607105785.542238,9768,0.0
1607105788.188386,9777,0.0
1607105798.464717,9812,0.0
1607105806.685435,9840,0.0
1607105807.560768,9843,0.0
1607105819.27001,9883,0.0
1607105826.246012,9907,0.0
1607105829.174939,9917,0.0
1607105845.253455,9972,0.0
1607105849.032301,9985,0.0
1607105857.939633,10014,0.0
1607105868.473703,10050,0.0
1607105869.927813,10055,0.0
1607105870.237519,10056,0.0
1607105870.830987,10058,0.0
1607105874.929724,10072,0.0
1607105878.42917,10084,0.0
1607105885.147584,10107,0.0
1607105886.895418,10113,0.0
1607105891.305312,10128,0.0
1607105893.052229,10134,0.0
1607105895.970843,10144,0.0
1607105902.977922,10168,0.0
1607105907.930904,10185,0.0
1607105914.321332,10207,0.0
1607105923.402101,10238,0.0
1607105925.426954,10245,0.0
1607105928.611813,10256,0.0
1607105933.269656,10272,0.0
1607105934.42977,10276,0.0
1607105936.462348,10283,0.0
1607105937.915987,10288,0.0
